Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Jud Buechler,SF,25,36,0,6.1,1.2,2.3,.500,0.3,0.8,.414,0.8,1.5,.545,.571,0.3,0.6,.500,0.4,0.5,0.9,0.4,0.2,0.0,0.3,0.7,2.9,1994/1995,GSW,6-6,220,3,14.9,.571,.345,10.6,1.8,0.3,11.5,19.8,0.4,0.5,.112,-0.7,0.3,0.1,7.9
Matt Bullard,PF,26,65,0,11.2,1.2,3.5,.345,0.8,2.4,.325,0.4,1.1,.389,.456,0.3,0.4,.769,0.4,0.9,1.3,1.0,0.2,0.1,0.4,1.0,3.5,1994/1995,HOU,6-10,215,3,8.8,.476,.681,12.6,1.0,0.5,10.5,16.2,0.2,1.0,.068,-1.8,-1.4,0.0,6.4
Evers Burns,PF,22,23,0,6.2,1.0,2.4,.400,0.0,0.0,0,1.0,2.4,.400,.400,0.5,1.0,.522,0.6,0.7,1.3,0.4,0.3,0.1,0.3,1.4,2.4,1994/1995,SAC,6-8,260,R,9.7,.430,.000,9.7,2.1,1.3,9.7,21.3,-0.1,0.1,.020,-5.5,-5.0,-0.1,11.5
Scott Burrell,SF,23,51,16,15.0,1.9,4.6,.419,0.0,0.1,.333,1.9,4.5,.421,.423,0.9,1.4,.657,0.9,1.7,2.6,1.2,0.7,0.3,0.9,1.7,4.8,1994/1995,CHH,6-7,218,R,10.4,.461,.026,11.1,2.4,1.3,14.5,17.2,-0.2,0.5,.030,-2.6,-2.8,-0.1,9.5
Willie Burton,SF,25,53,1,13.2,2.3,5.3,.438,0.1,0.3,.200,2.3,5.1,.451,.443,2.3,3.0,.759,0.9,1.6,2.6,0.7,0.3,0.4,1.0,1.8,7.0,1994/1995,MIA,6-8,210,3,15.6,.526,.053,8.9,1.3,2.0,13.3,25.1,0.9,1.6,.113,-1.7,-0.7,0.1,11.1
Mitchell Butler,SG,23,75,19,17.6,2.8,5.6,.495,0.0,0.1,.000,2.8,5.5,.501,.495,1.4,2.4,.578,1.4,1.6,3.0,1.0,0.7,0.3,1.2,1.7,6.9,1994/1995,WSB,6-5,210,R,13.0,.521,.012,8.9,2.0,0.9,14.9,19.0,0.7,1.1,.040,-2.4,-1.0,-0.1,10.0
Michael Cage,C,32,82,42,20.8,2.1,3.8,.545,0.0,0.0,.000,2.1,3.8,.546,.545,0.4,0.9,.486,2.0,3.4,5.4,0.5,0.9,0.5,0.6,2.2,4.6,1994/1995,SEA,6-9,224,9,11.9,.545,.003,3.5,2.3,1.6,12.8,10.0,1.9,4.9,.137,-0.3,-0.8,0.7,15.4
Elden Campbell,PF,25,76,74,29.6,4.9,10.6,.462,0.0,0.0,.000,4.9,10.6,.463,.462,2.5,3.6,.689,2.2,4.6,6.8,1.1,0.8,1.9,1.3,3.2,12.3,1994/1995,LAL,6-11,215,3,15.2,.503,.002,5.7,1.4,4.1,9.6,19.2,2.0,4.2,.089,-1.2,-1.1,0.5,12.5
Tony Campbell,SF,31,22,11,17.2,2.9,5.8,.492,0.0,0.1,.333,2.8,5.7,.496,.496,1.4,1.7,.811,1.3,1.5,2.7,1.4,0.9,0.0,1.3,2.7,7.1,1994/1995,NYK,6-7,215,9,13.3,.544,.023,13.2,2.7,0.2,16.7,20.0,0.3,1.1,.139,0.3,-1.8,0.2,9.0
Tony Campbell,SF,31,41,3,20.4,4.0,9.4,.427,0.1,0.6,.240,3.9,8.8,.440,.435,1.6,2.0,.771,1.2,1.9,3.1,1.2,0.7,0.3,1.3,1.8,9.7,1994/1995,DAL,6-7,215,9,13.3,.473,.065,10.6,1.8,1.1,11.6,24.1,0.0,0.5,.026,-3.0,-1.4,-0.2,8.5
Antoine Carr,PF,32,34,0,13.7,2.3,4.7,.488,0.0,0.0,.000,2.3,4.7,.491,.488,1.2,1.7,.724,0.4,1.1,1.5,0.4,0.3,0.6,0.4,2.2,5.8,1994/1995,SAS,6-9,225,9,12.8,.534,.006,5.1,1.0,3.1,7.5,19.3,0.7,1.2,.124,-1.7,-2.2,0.0,6.2
Bill Cartwright,C,36,42,41,18.6,2.3,4.5,.513,0.0,0.0,0,2.3,4.5,.513,.513,0.9,1.4,.684,1.0,2.6,3.6,1.4,0.2,0.2,1.2,2.0,5.6,1994/1995,CHI,7-1,245,13,10.1,.544,.000,10.5,0.5,0.7,18.8,15.1,0.4,1.3,.077,-2.6,-2.5,-0.1,11.4
